,response,context,context/0,context/1,context/2,context/3,context/4,context/5
547,1 -Du bør skrike til meg eller slå meg.,2 -Hva mer kan jeg gjøre?,1 -Gi meg posen.,2 -Vi må legge dette bak oss.,1 -Jeg går.,Unnskyld.,2 Jeg burde gjort det.,ha sagt det til meg?
548,2 -Jeg vil ikke slå deg.,1 -Du bør skrike til meg eller slå meg.,2 -Hva mer kan jeg gjøre?,1 -Gi meg posen.,2 -Vi må legge dette bak oss.,1 -Jeg går.,Unnskyld.,2 Jeg burde gjort det.
549,1 Du vil føle deg bedre.,2 -Jeg vil ikke slå deg.,1 -Du bør skrike til meg eller slå meg.,2 -Hva mer kan jeg gjøre?,1 -Gi meg posen.,2 -Vi må legge dette bak oss.,1 -Jeg går.,Unnskyld.
550,Og jeg ser på deg at du har lyst.,1 Du vil føle deg bedre.,2 -Jeg vil ikke slå deg.,1 -Du bør skrike til meg eller slå meg.,2 -Hva mer kan jeg gjøre?,1 -Gi meg posen.,2 -Vi må legge dette bak oss.,1 -Jeg går.
551,"2 -Nei, det har jeg ikke.",Og jeg ser på deg at du har lyst.,1 Du vil føle deg bedre.,2 -Jeg vil ikke slå deg.,1 -Du bør skrike til meg eller slå meg.,2 -Hva mer kan jeg gjøre?,1 -Gi meg posen.,2 -Vi må legge dette bak oss.
552,1 -Litt.,"2 -Nei, det har jeg ikke.",Og jeg ser på deg at du har lyst.,1 Du vil føle deg bedre.,2 -Jeg vil ikke slå deg.,1 -Du bør skrike til meg eller slå meg.,2 -Hva mer kan jeg gjøre?,1 -Gi meg posen.
553,2 -Nei!,1 -Litt.,"2 -Nei, det har jeg ikke.",Og jeg ser på deg at du har lyst.,1 Du vil føle deg bedre.,2 -Jeg vil ikke slå deg.,1 -Du bør skrike til meg eller slå meg.,2 -Hva mer kan jeg gjøre?
554,1 -Litt mer.,2 -Nei!,1 -Litt.,"2 -Nei, det har jeg ikke.",Og jeg ser på deg at du har lyst.,1 Du vil føle deg bedre.,2 -Jeg vil ikke slå deg.,1 -Du bør skrike til meg eller slå meg.
555,2 Gi meg posen.,1 -Litt mer.,2 -Nei!,1 -Litt.,"2 -Nei, det har jeg ikke.",Og jeg ser på deg at du har lyst.,1 Du vil føle deg bedre.,2 -Jeg vil ikke slå deg.
556,Jeg tuller ikke. . .,2 Gi meg posen.,1 -Litt mer.,2 -Nei!,1 -Litt.,"2 -Nei, det har jeg ikke.",Og jeg ser på deg at du har lyst.,1 Du vil føle deg bedre.
557,1 Slå meg!,Jeg tuller ikke. . .,2 Gi meg posen.,1 -Litt mer.,2 -Nei!,1 -Litt.,"2 -Nei, det har jeg ikke.",Og jeg ser på deg at du har lyst.
558,2 -Du dukket!,1 Slå meg!,Jeg tuller ikke. . .,2 Gi meg posen.,1 -Litt mer.,2 -Nei!,1 -Litt.,"2 -Nei, det har jeg ikke."
559,1 -Beklager! Ren refleks.,2 -Du dukket!,1 Slå meg!,Jeg tuller ikke. . .,2 Gi meg posen.,1 -Litt mer.,2 -Nei!,1 -Litt.
560,2 Dette gjør veldig vondt!,1 -Beklager! Ren refleks.,2 -Du dukket!,1 Slå meg!,Jeg tuller ikke. . .,2 Gi meg posen.,1 -Litt mer.,2 -Nei!
561,1 Jeg kunne ikke for det.,2 Dette gjør veldig vondt!,1 -Beklager! Ren refleks.,2 -Du dukket!,1 Slå meg!,Jeg tuller ikke. . .,2 Gi meg posen.,1 -Litt mer.
562,"2 Når noen slår, dukker man. Se!",1 Jeg kunne ikke for det.,2 Dette gjør veldig vondt!,1 -Beklager! Ren refleks.,2 -Du dukket!,1 Slå meg!,Jeg tuller ikke. . .,2 Gi meg posen.
563,1 -Hva feiler det deg?,"2 Når noen slår, dukker man. Se!",1 Jeg kunne ikke for det.,2 Dette gjør veldig vondt!,1 -Beklager! Ren refleks.,2 -Du dukket!,1 Slå meg!,Jeg tuller ikke. . .
564,2 -Hvorfor dukket du ikke?!,1 -Hva feiler det deg?,"2 Når noen slår, dukker man. Se!",1 Jeg kunne ikke for det.,2 Dette gjør veldig vondt!,1 -Beklager! Ren refleks.,2 -Du dukket!,1 Slå meg!
565,1 La oss prate om det,2 -Hvorfor dukket du ikke?!,1 -Hva feiler det deg?,"2 Når noen slår, dukker man. Se!",1 Jeg kunne ikke for det.,2 Dette gjør veldig vondt!,1 -Beklager! Ren refleks.,2 -Du dukket!
566,på vei til sykehuset.,1 La oss prate om det,2 -Hvorfor dukket du ikke?!,1 -Hva feiler det deg?,"2 Når noen slår, dukker man. Se!",1 Jeg kunne ikke for det.,2 Dette gjør veldig vondt!,1 -Beklager! Ren refleks.
567,2 De kan sjekke refleksene dine.,på vei til sykehuset.,1 La oss prate om det,2 -Hvorfor dukket du ikke?!,1 -Hva feiler det deg?,"2 Når noen slår, dukker man. Se!",1 Jeg kunne ikke for det.,2 Dette gjør veldig vondt!
568,1 -Prøv å amme igjen.,2 De kan sjekke refleksene dine.,på vei til sykehuset.,1 La oss prate om det,2 -Hvorfor dukket du ikke?!,1 -Hva feiler det deg?,"2 Når noen slår, dukker man. Se!",1 Jeg kunne ikke for det.
569,2 -Jeg har gjort det!,1 -Prøv å amme igjen.,2 De kan sjekke refleksene dine.,på vei til sykehuset.,1 La oss prate om det,2 -Hvorfor dukket du ikke?!,1 -Hva feiler det deg?,"2 Når noen slår, dukker man. Se!"
570,"1 Det var derfor jeg sa """"igjen"""" !",2 -Jeg har gjort det!,1 -Prøv å amme igjen.,2 De kan sjekke refleksene dine.,på vei til sykehuset.,1 La oss prate om det,2 -Hvorfor dukket du ikke?!,1 -Hva feiler det deg?
571,2 Vi må ikke bli uvenner.,"1 Det var derfor jeg sa """"igjen"""" !",2 -Jeg har gjort det!,1 -Prøv å amme igjen.,2 De kan sjekke refleksene dine.,på vei til sykehuset.,1 La oss prate om det,2 -Hvorfor dukket du ikke?!
572,Det er det hun ønsker!,2 Vi må ikke bli uvenner.,"1 Det var derfor jeg sa """"igjen"""" !",2 -Jeg har gjort det!,1 -Prøv å amme igjen.,2 De kan sjekke refleksene dine.,på vei til sykehuset.,1 La oss prate om det
573,1 -Kan vi prate sammen?,Det er det hun ønsker!,2 Vi må ikke bli uvenner.,"1 Det var derfor jeg sa """"igjen"""" !",2 -Jeg har gjort det!,1 -Prøv å amme igjen.,2 De kan sjekke refleksene dine.,på vei til sykehuset.
574,2 -Jeg skal sjekke bleien.,1 -Kan vi prate sammen?,Det er det hun ønsker!,2 Vi må ikke bli uvenner.,"1 Det var derfor jeg sa """"igjen"""" !",2 -Jeg har gjort det!,1 -Prøv å amme igjen.,2 De kan sjekke refleksene dine.
575,"1 -Vil du være med, Pheebs?",2 -Jeg skal sjekke bleien.,1 -Kan vi prate sammen?,Det er det hun ønsker!,2 Vi må ikke bli uvenner.,"1 Det var derfor jeg sa """"igjen"""" !",2 -Jeg har gjort det!,1 -Prøv å amme igjen.
576,-Dette angår på en måte meg.,"1 -Vil du være med, Pheebs?",2 -Jeg skal sjekke bleien.,1 -Kan vi prate sammen?,Det er det hun ønsker!,2 Vi må ikke bli uvenner.,"1 Det var derfor jeg sa """"igjen"""" !",2 -Jeg har gjort det!
577,1 -Det er en ekteskapelig ting.,-Dette angår på en måte meg.,"1 -Vil du være med, Pheebs?",2 -Jeg skal sjekke bleien.,1 -Kan vi prate sammen?,Det er det hun ønsker!,2 Vi må ikke bli uvenner.,"1 Det var derfor jeg sa """"igjen"""" !"
578,2 -Jeg burde giftet meg med Chandler!,1 -Det er en ekteskapelig ting.,-Dette angår på en måte meg.,"1 -Vil du være med, Pheebs?",2 -Jeg skal sjekke bleien.,1 -Kan vi prate sammen?,Det er det hun ønsker!,2 Vi må ikke bli uvenner.
579,1 Hva er det?,2 -Jeg burde giftet meg med Chandler!,1 -Det er en ekteskapelig ting.,-Dette angår på en måte meg.,"1 -Vil du være med, Pheebs?",2 -Jeg skal sjekke bleien.,1 -Kan vi prate sammen?,Det er det hun ønsker!
580,2 Vi har jo pratet om at det ville,1 Hva er det?,2 -Jeg burde giftet meg med Chandler!,1 -Det er en ekteskapelig ting.,-Dette angår på en måte meg.,"1 -Vil du være med, Pheebs?",2 -Jeg skal sjekke bleien.,1 -Kan vi prate sammen?
581,vært gøy å bo i Paris i ett år.,2 Vi har jo pratet om at det ville,1 Hva er det?,2 -Jeg burde giftet meg med Chandler!,1 -Det er en ekteskapelig ting.,-Dette angår på en måte meg.,"1 -Vil du være med, Pheebs?",2 -Jeg skal sjekke bleien.
582,1 Vi kunne ha piknik langs Seinen,vært gøy å bo i Paris i ett år.,2 Vi har jo pratet om at det ville,1 Hva er det?,2 -Jeg burde giftet meg med Chandler!,1 -Det er en ekteskapelig ting.,-Dette angår på en måte meg.,"1 -Vil du være med, Pheebs?"
583,og dra på vinsmaking i Bordeaux.,1 Vi kunne ha piknik langs Seinen,vært gøy å bo i Paris i ett år.,2 Vi har jo pratet om at det ville,1 Hva er det?,2 -Jeg burde giftet meg med Chandler!,1 -Det er en ekteskapelig ting.,-Dette angår på en måte meg.
584,2 Det er mange som sier at Tulsa er Oklahomas Paris.,og dra på vinsmaking i Bordeaux.,1 Vi kunne ha piknik langs Seinen,vært gøy å bo i Paris i ett år.,2 Vi har jo pratet om at det ville,1 Hva er det?,2 -Jeg burde giftet meg med Chandler!,1 -Det er en ekteskapelig ting.
585,1 Hvem sier det?,2 Det er mange som sier at Tulsa er Oklahomas Paris.,og dra på vinsmaking i Bordeaux.,1 Vi kunne ha piknik langs Seinen,vært gøy å bo i Paris i ett år.,2 Vi har jo pratet om at det ville,1 Hva er det?,2 -Jeg burde giftet meg med Chandler!
586,2 Folk som aldri har vært i Paris?,1 Hvem sier det?,2 Det er mange som sier at Tulsa er Oklahomas Paris.,og dra på vinsmaking i Bordeaux.,1 Vi kunne ha piknik langs Seinen,vært gøy å bo i Paris i ett år.,2 Vi har jo pratet om at det ville,1 Hva er det?
587,1 -Hva foregår?,2 Folk som aldri har vært i Paris?,1 Hvem sier det?,2 Det er mange som sier at Tulsa er Oklahomas Paris.,og dra på vinsmaking i Bordeaux.,1 Vi kunne ha piknik langs Seinen,vært gøy å bo i Paris i ett år.,2 Vi har jo pratet om at det ville
588,2 -Vi skal flytte til Tulsa!,1 -Hva foregår?,2 Folk som aldri har vært i Paris?,1 Hvem sier det?,2 Det er mange som sier at Tulsa er Oklahomas Paris.,og dra på vinsmaking i Bordeaux.,1 Vi kunne ha piknik langs Seinen,vært gøy å bo i Paris i ett år.
589,1 Unnskyld meg?,2 -Vi skal flytte til Tulsa!,1 -Hva foregår?,2 Folk som aldri har vært i Paris?,1 Hvem sier det?,2 Det er mange som sier at Tulsa er Oklahomas Paris.,og dra på vinsmaking i Bordeaux.,1 Vi kunne ha piknik langs Seinen
590,"2 Ms. McKenna, som står over sjefen",1 Unnskyld meg?,2 -Vi skal flytte til Tulsa!,1 -Hva foregår?,2 Folk som aldri har vært i Paris?,1 Hvem sier det?,2 Det er mange som sier at Tulsa er Oklahomas Paris.,og dra på vinsmaking i Bordeaux.
591,"min, ba meg lede kontoret i Tulsa.","2 Ms. McKenna, som står over sjefen",1 Unnskyld meg?,2 -Vi skal flytte til Tulsa!,1 -Hva foregår?,2 Folk som aldri har vært i Paris?,1 Hvem sier det?,2 Det er mange som sier at Tulsa er Oklahomas Paris.
592,"Jeg sov, og sa tydeligvis ja.","min, ba meg lede kontoret i Tulsa.","2 Ms. McKenna, som står over sjefen",1 Unnskyld meg?,2 -Vi skal flytte til Tulsa!,1 -Hva foregår?,2 Folk som aldri har vært i Paris?,1 Hvem sier det?
593,1 -Tulsa i Oklahoma?,"Jeg sov, og sa tydeligvis ja.","min, ba meg lede kontoret i Tulsa.","2 Ms. McKenna, som står over sjefen",1 Unnskyld meg?,2 -Vi skal flytte til Tulsa!,1 -Hva foregår?,2 Folk som aldri har vært i Paris?
594,2 -Den snareste delstaten!,1 -Tulsa i Oklahoma?,"Jeg sov, og sa tydeligvis ja.","min, ba meg lede kontoret i Tulsa.","2 Ms. McKenna, som står over sjefen",1 Unnskyld meg?,2 -Vi skal flytte til Tulsa!,1 -Hva foregår?
595,1 Hva nå enn det betyr?,2 -Den snareste delstaten!,1 -Tulsa i Oklahoma?,"Jeg sov, og sa tydeligvis ja.","min, ba meg lede kontoret i Tulsa.","2 Ms. McKenna, som står over sjefen",1 Unnskyld meg?,2 -Vi skal flytte til Tulsa!
596,2 Jeg vil ikke engang se,1 Hva nå enn det betyr?,2 -Den snareste delstaten!,1 -Tulsa i Oklahoma?,"Jeg sov, og sa tydeligvis ja.","min, ba meg lede kontoret i Tulsa.","2 Ms. McKenna, som står over sjefen",1 Unnskyld meg?
597,musikalen Oklahoma!,2 Jeg vil ikke engang se,1 Hva nå enn det betyr?,2 -Den snareste delstaten!,1 -Tulsa i Oklahoma?,"Jeg sov, og sa tydeligvis ja.","min, ba meg lede kontoret i Tulsa.","2 Ms. McKenna, som står over sjefen"
598,"1 """"Oh, What A Beautiful Morning""""?",musikalen Oklahoma!,2 Jeg vil ikke engang se,1 Hva nå enn det betyr?,2 -Den snareste delstaten!,1 -Tulsa i Oklahoma?,"Jeg sov, og sa tydeligvis ja.","min, ba meg lede kontoret i Tulsa."
599,2 Prøver du å si at vi må flytte til,"1 """"Oh, What A Beautiful Morning""""?",musikalen Oklahoma!,2 Jeg vil ikke engang se,1 Hva nå enn det betyr?,2 -Den snareste delstaten!,1 -Tulsa i Oklahoma?,"Jeg sov, og sa tydeligvis ja."
600,Oklahoma eller at du er homo?,2 Prøver du å si at vi må flytte til,"1 """"Oh, What A Beautiful Morning""""?",musikalen Oklahoma!,2 Jeg vil ikke engang se,1 Hva nå enn det betyr?,2 -Den snareste delstaten!,1 -Tulsa i Oklahoma?
601,1 Tilbød de deg i det minste,Oklahoma eller at du er homo?,2 Prøver du å si at vi må flytte til,"1 """"Oh, What A Beautiful Morning""""?",musikalen Oklahoma!,2 Jeg vil ikke engang se,1 Hva nå enn det betyr?,2 -Den snareste delstaten!
602,et klekkelig pålegg?,1 Tilbød de deg i det minste,Oklahoma eller at du er homo?,2 Prøver du å si at vi må flytte til,"1 """"Oh, What A Beautiful Morning""""?",musikalen Oklahoma!,2 Jeg vil ikke engang se,1 Hva nå enn det betyr?
603,2 Nei.,et klekkelig pålegg?,1 Tilbød de deg i det minste,Oklahoma eller at du er homo?,2 Prøver du å si at vi må flytte til,"1 """"Oh, What A Beautiful Morning""""?",musikalen Oklahoma!,2 Jeg vil ikke engang se
604,Men de vil lease oss en Ford Focus.,2 Nei.,et klekkelig pålegg?,1 Tilbød de deg i det minste,Oklahoma eller at du er homo?,2 Prøver du å si at vi må flytte til,"1 """"Oh, What A Beautiful Morning""""?",musikalen Oklahoma!
605,1 -Jeg skal komme meg ut av det.,Men de vil lease oss en Ford Focus.,2 Nei.,et klekkelig pålegg?,1 Tilbød de deg i det minste,Oklahoma eller at du er homo?,2 Prøver du å si at vi må flytte til,"1 """"Oh, What A Beautiful Morning""""?"
606,2 -Takk.,1 -Jeg skal komme meg ut av det.,Men de vil lease oss en Ford Focus.,2 Nei.,et klekkelig pålegg?,1 Tilbød de deg i det minste,Oklahoma eller at du er homo?,2 Prøver du å si at vi må flytte til
607,1 Hva er galt med Emma?,2 -Takk.,1 -Jeg skal komme meg ut av det.,Men de vil lease oss en Ford Focus.,2 Nei.,et klekkelig pålegg?,1 Tilbød de deg i det minste,Oklahoma eller at du er homo?
608,2 Hun tror at hun må flytte til Tulsa!,1 Hva er galt med Emma?,2 -Takk.,1 -Jeg skal komme meg ut av det.,Men de vil lease oss en Ford Focus.,2 Nei.,et klekkelig pålegg?,1 Tilbød de deg i det minste
609,1 Har du tid et øyeblikk?,2 Hun tror at hun må flytte til Tulsa!,1 Hva er galt med Emma?,2 -Takk.,1 -Jeg skal komme meg ut av det.,Men de vil lease oss en Ford Focus.,2 Nei.,et klekkelig pålegg?
610,2 Jeg har en dårlig nyhet.,1 Har du tid et øyeblikk?,2 Hun tror at hun må flytte til Tulsa!,1 Hva er galt med Emma?,2 -Takk.,1 -Jeg skal komme meg ut av det.,Men de vil lease oss en Ford Focus.,2 Nei.
611,Jeg kan nok ikke flytte til Tulsa.,2 Jeg har en dårlig nyhet.,1 Har du tid et øyeblikk?,2 Hun tror at hun må flytte til Tulsa!,1 Hva er galt med Emma?,2 -Takk.,1 -Jeg skal komme meg ut av det.,Men de vil lease oss en Ford Focus.
612,1 Det er faktisk litt morsomt.,Jeg kan nok ikke flytte til Tulsa.,2 Jeg har en dårlig nyhet.,1 Har du tid et øyeblikk?,2 Hun tror at hun må flytte til Tulsa!,1 Hva er galt med Emma?,2 -Takk.,1 -Jeg skal komme meg ut av det.
613,"2 Jeg sovnet under møtet, og var",1 Det er faktisk litt morsomt.,Jeg kan nok ikke flytte til Tulsa.,2 Jeg har en dårlig nyhet.,1 Har du tid et øyeblikk?,2 Hun tror at hun må flytte til Tulsa!,1 Hva er galt med Emma?,2 -Takk.
614,ikke klar over hva jeg svarte på.,"2 Jeg sovnet under møtet, og var",1 Det er faktisk litt morsomt.,Jeg kan nok ikke flytte til Tulsa.,2 Jeg har en dårlig nyhet.,1 Har du tid et øyeblikk?,2 Hun tror at hun må flytte til Tulsa!,1 Hva er galt med Emma?
615,1 -Sovnet du?,ikke klar over hva jeg svarte på.,"2 Jeg sovnet under møtet, og var",1 Det er faktisk litt morsomt.,Jeg kan nok ikke flytte til Tulsa.,2 Jeg har en dårlig nyhet.,1 Har du tid et øyeblikk?,2 Hun tror at hun må flytte til Tulsa!
616,2 -Fordi jeg lå søvnløs pga møtet!,1 -Sovnet du?,ikke klar over hva jeg svarte på.,"2 Jeg sovnet under møtet, og var",1 Det er faktisk litt morsomt.,Jeg kan nok ikke flytte til Tulsa.,2 Jeg har en dårlig nyhet.,1 Har du tid et øyeblikk?
617,1 Er det ikke morsomt?,2 -Fordi jeg lå søvnløs pga møtet!,1 -Sovnet du?,ikke klar over hva jeg svarte på.,"2 Jeg sovnet under møtet, og var",1 Det er faktisk litt morsomt.,Jeg kan nok ikke flytte til Tulsa.,2 Jeg har en dårlig nyhet.
618,2 Jeg dro hjem og fortalte min kone,1 Er det ikke morsomt?,2 -Fordi jeg lå søvnløs pga møtet!,1 -Sovnet du?,ikke klar over hva jeg svarte på.,"2 Jeg sovnet under møtet, og var",1 Det er faktisk litt morsomt.,Jeg kan nok ikke flytte til Tulsa.
619,"om Tulsa, men hun vil ikke dra.",2 Jeg dro hjem og fortalte min kone,1 Er det ikke morsomt?,2 -Fordi jeg lå søvnløs pga møtet!,1 -Sovnet du?,ikke klar over hva jeg svarte på.,"2 Jeg sovnet under møtet, og var",1 Det er faktisk litt morsomt.
620,1 Jeg elsker Tulsa.,"om Tulsa, men hun vil ikke dra.",2 Jeg dro hjem og fortalte min kone,1 Er det ikke morsomt?,2 -Fordi jeg lå søvnløs pga møtet!,1 -Sovnet du?,ikke klar over hva jeg svarte på.,"2 Jeg sovnet under møtet, og var"
621,Tulsa er himmelen.,1 Jeg elsker Tulsa.,"om Tulsa, men hun vil ikke dra.",2 Jeg dro hjem og fortalte min kone,1 Er det ikke morsomt?,2 -Fordi jeg lå søvnløs pga møtet!,1 -Sovnet du?,ikke klar over hva jeg svarte på.
622,"2 Jeg liker ikke Tulsa, så ikke tving meg til å dra dit.",Tulsa er himmelen.,1 Jeg elsker Tulsa.,"om Tulsa, men hun vil ikke dra.",2 Jeg dro hjem og fortalte min kone,1 Er det ikke morsomt?,2 -Fordi jeg lå søvnløs pga møtet!,1 -Sovnet du?
623,"1 Det er din datter, ikke sant?","2 Jeg liker ikke Tulsa, så ikke tving meg til å dra dit.",Tulsa er himmelen.,1 Jeg elsker Tulsa.,"om Tulsa, men hun vil ikke dra.",2 Jeg dro hjem og fortalte min kone,1 Er det ikke morsomt?,2 -Fordi jeg lå søvnløs pga møtet!
624,2 Hun er nydelig. Jeg liker jenter,"1 Det er din datter, ikke sant?","2 Jeg liker ikke Tulsa, så ikke tving meg til å dra dit.",Tulsa er himmelen.,1 Jeg elsker Tulsa.,"om Tulsa, men hun vil ikke dra.",2 Jeg dro hjem og fortalte min kone,1 Er det ikke morsomt?
625,med et kraftig kjeveparti.,2 Hun er nydelig. Jeg liker jenter,"1 Det er din datter, ikke sant?","2 Jeg liker ikke Tulsa, så ikke tving meg til å dra dit.",Tulsa er himmelen.,1 Jeg elsker Tulsa.,"om Tulsa, men hun vil ikke dra.",2 Jeg dro hjem og fortalte min kone
626,1 Jeg ringer deg fra Tulsa.,med et kraftig kjeveparti.,2 Hun er nydelig. Jeg liker jenter,"1 Det er din datter, ikke sant?","2 Jeg liker ikke Tulsa, så ikke tving meg til å dra dit.",Tulsa er himmelen.,1 Jeg elsker Tulsa.,"om Tulsa, men hun vil ikke dra."
627,2 Hvordan gikk det?,1 Jeg ringer deg fra Tulsa.,med et kraftig kjeveparti.,2 Hun er nydelig. Jeg liker jenter,"1 Det er din datter, ikke sant?","2 Jeg liker ikke Tulsa, så ikke tving meg til å dra dit.",Tulsa er himmelen.,1 Jeg elsker Tulsa.
628,1 -Jeg brakk tommelen.,2 Hvordan gikk det?,1 Jeg ringer deg fra Tulsa.,med et kraftig kjeveparti.,2 Hun er nydelig. Jeg liker jenter,"1 Det er din datter, ikke sant?","2 Jeg liker ikke Tulsa, så ikke tving meg til å dra dit.",Tulsa er himmelen.
629,2 -Tommelen?,1 -Jeg brakk tommelen.,2 Hvordan gikk det?,1 Jeg ringer deg fra Tulsa.,med et kraftig kjeveparti.,2 Hun er nydelig. Jeg liker jenter,"1 Det er din datter, ikke sant?","2 Jeg liker ikke Tulsa, så ikke tving meg til å dra dit."
630,1 Så rart.,2 -Tommelen?,1 -Jeg brakk tommelen.,2 Hvordan gikk det?,1 Jeg ringer deg fra Tulsa.,med et kraftig kjeveparti.,2 Hun er nydelig. Jeg liker jenter,"1 Det er din datter, ikke sant?"
631,2 Sikker på at du slår rett?,1 Så rart.,2 -Tommelen?,1 -Jeg brakk tommelen.,2 Hvordan gikk det?,1 Jeg ringer deg fra Tulsa.,med et kraftig kjeveparti.,2 Hun er nydelig. Jeg liker jenter
632,1 Knytt neven.,2 Sikker på at du slår rett?,1 Så rart.,2 -Tommelen?,1 -Jeg brakk tommelen.,2 Hvordan gikk det?,1 Jeg ringer deg fra Tulsa.,med et kraftig kjeveparti.
633,2 Kanskje senere.,1 Knytt neven.,2 Sikker på at du slår rett?,1 Så rart.,2 -Tommelen?,1 -Jeg brakk tommelen.,2 Hvordan gikk det?,1 Jeg ringer deg fra Tulsa.
634,1 Jeg føler meg skyldig.,2 Kanskje senere.,1 Knytt neven.,2 Sikker på at du slår rett?,1 Så rart.,2 -Tommelen?,1 -Jeg brakk tommelen.,2 Hvordan gikk det?
635,2 Du kan gå.,1 Jeg føler meg skyldig.,2 Kanskje senere.,1 Knytt neven.,2 Sikker på at du slår rett?,1 Så rart.,2 -Tommelen?,1 -Jeg brakk tommelen.
636,Jeg må bare fylle ut noen skjemaer.,2 Du kan gå.,1 Jeg føler meg skyldig.,2 Kanskje senere.,1 Knytt neven.,2 Sikker på at du slår rett?,1 Så rart.,2 -Tommelen?
637,1 Skal jeg hjelpe deg?,Jeg må bare fylle ut noen skjemaer.,2 Du kan gå.,1 Jeg føler meg skyldig.,2 Kanskje senere.,1 Knytt neven.,2 Sikker på at du slår rett?,1 Så rart.
638,2 Ser det ut som om jeg har problemer,1 Skal jeg hjelpe deg?,Jeg må bare fylle ut noen skjemaer.,2 Du kan gå.,1 Jeg føler meg skyldig.,2 Kanskje senere.,1 Knytt neven.,2 Sikker på at du slår rett?
639,med den deformerte kloa mi?,2 Ser det ut som om jeg har problemer,1 Skal jeg hjelpe deg?,Jeg må bare fylle ut noen skjemaer.,2 Du kan gå.,1 Jeg føler meg skyldig.,2 Kanskje senere.,1 Knytt neven.
640,1 Navn?,med den deformerte kloa mi?,2 Ser det ut som om jeg har problemer,1 Skal jeg hjelpe deg?,Jeg må bare fylle ut noen skjemaer.,2 Du kan gå.,1 Jeg føler meg skyldig.,2 Kanskje senere.
